Year AvgHPI GDHI Ratio
2003 119904 13022 9.2078
2004 134131 13556 9.89459
2005 143921 14038 10.2522
2006 155230 14618 10.6191
2007 170598 15297 11.1524
2008 162912 15695 10.3799
2009 148445 15963 9.29932
2010 156936 16111 9.74092
2011 154654 16270 9.50547
2012 155269 16870 9.20385
2013 159262 17506 9.09757
2014 172048 18061 9.52594
2015 182291 19004 9.59224
2016 195035 19228 10.1433
2017 203950 19677 10.3649
2018 210354 20407 10.3079
2019 212434 21016 10.1082
2020 218522 20978 10.4167
2021 236312 21729 10.8754
2022 258236 22907 11.2732
2023 258956 24836 10.4266
