1968 3380
1969 3531
1970 3737
1971 4181.25
1972 5589
1973 7688.75
1974 8292
1975 8778.5
1976 9555
1977 10256.5
1978 11935.5
1979 15443.2
1980 18670.2
1981 19741.2
1982 20208.8
1983 22589.5
1984 24694
1985 26845.2
1986 30493.5
1987 35614.2
1988 45431.8
1989 54235.8
1990 53578
1991 52814
1992 50713
1993 49855.2
1994 51179.2
1995 51529.2
1996 53415.2
1997 58112.2
1998 64770.5
1999 71816.2
2000 82534.2
2001 89254.5
2002 103650
2003 119904
2004 134131
2005 143921
2006 155230
2007 170598
2008 162912
2009 148445
2010 156936
2011 154654
2012 155269
2013 159262
2014 172048
2015 182291
2016 195035
2017 203950
2018 210354
2019 212434
2020 218522
2021 236312
2022 258236
2023 258956
2024 260532
2025 268191
